incident_number,Day and Month Reported,Year Reported,Police Shift,Offense Code,Offense Type,Offense Definition,Offense Sub-Category,Offense Category,Block Code,Ward,Source,Date,Time,Type,Description,latitude,longitude
24078312,12/16,2024,First Half (4PM - Midnight),13B,Simple Assault,"An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",Assault Offenses,Crimes against Person,250173501061014,1              ,December 30th 2024 - October 1st 2024 Crime News,12/16/24,6:13 PM,Assault,"Somerville Police responded to a business in Assembly Row for report of an assault. Upon arrival, officers spoke with an employee who stated a juvenile male entered the store and was asked to leave. The juvenile then threw an egg at the employee striking him in the eye.",42.3945624256793,-71.08278355879614
24079660,12/23,2024,Day Shift (8AM - 4PM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173503003005,5              ,December 30th 2024 - October 1st 2024 Crime News,12/23/24,9:52 AM,Residential Breaking & Entering,"Somerville Police responded to 550 Broadway for report of an unwanted group. Upon arrival, officers spoke with the reporting party who stated a group of individuals broke into the restrooms at Trum Field",42.39762841933908,-71.10712319936579
21065304,12/20,2021,Day Shift (8AM - 4PM),120,Robbery,"The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.",Robbery,Crimes against Property,250173501091017,1              ,March 28th 2022 - December 20th 2021 Crime News,12/20/21,,identified the male suspect.,"Somerville Police took a report from a female victim who stated she was robbed at gunpoint at Foss Park on 12/19/21 between 8 PM – 9 PM. She stated that while walking near the intersection of Broadway & McGrath, she was approached by two males demanding she give up all she had. One of the males then brandished a black handgun and held it to her head. The males stole food from the victim. Both males were described as short and wearing dark clothing. Shootings Dec 20 2021 to Dec 27 2021",42.39158180374814,-71.0878297365309
21065624,12/22,2021,Day Shift (8AM - 4PM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173502011001,1              ,March 28th 2022 - December 20th 2021 Crime News,12/22/21,9:26 AM,Somerville Police Respond to Shooting,Somerville Police took a report from an individual who stated a construction trailer located in the area of Bonair St & Dana St was broken into and a saw and roll of copper were stolen. Somerville Police Respond to Residential Breaking & Entering,42.38847537730207,-71.0903506495209
21065904,12/24,2021,Day Shift (8AM - 4PM),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173501051002,4              ,March 28th 2022 - December 20th 2021 Crime News,12/24/21,11:58 AM,Somerville Police Respond to Assault,"Somerville Police responded to the area of Crest Hill Rd & Shore Dr for report of a male with a knife. A description of the suspect was provided and officers located a male matching the description nearby. Officers then spoke with the victim who stated he and the male suspect were involved in an argument. During the argument, the male suspect brandished a knife. Officers Somerville Police Respond to Armed Robbery",42.39865786786789,-71.08843225492339
21065942,12/24,2021,First Half (4PM - Midnight),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173509003011,6              ,March 28th 2022 - December 20th 2021 Crime News,12/24/21,5:44 PM,Somerville Police Respond to Shooting,"Somerville Police responded to an apartment complex on Day St for report of a past breaking and entering. Upon arrival, officers spoke with the victim who stated his bicycle was stolen from the basement. The lock on his bicycle was cut. Other Crime Statistics during this period:",42.39427366033132,-71.12451228960047
21066039,12/25,2021,Day Shift (8AM - 4PM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173501091020,4              ,March 28th 2022 - December 20th 2021 Crime News,12/25/21,12:39 PM,Somerville Police Respond to Shooting,"Somerville Police responded to a multifamily residence on Jaques St for report of a person knocking at the door. Upon arrival, officers spoke with the reporting party who stated he heard someone banging on the door of the first floor apartment. Officers entered the apartment and observed a male standing in the kitchen. The male was identified. Nothing was reported missing. Somerville Police Respond to Commercial Breaking & Entering",42.39290098425834,-71.08938530673743
21066204,12/27,2021,Last Half (Midnight - 8AM),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173502012001,4              ,March 28th 2022 - December 20th 2021 Crime News,12/27/21,6:23 AM,Somerville Police Respond to Shooting,"Somerville Police responded to Marshall St for report of a shooting. Upon arrival, officers spoke with the victim who stated while he was sitting in his parked vehicle, another vehicle pulled up next to his and an occupant shot at his vehicle one time. The suspect vehicle was described as a silver/gray sedan with tinted windows and paper license plates. Officers recovered ballistic evidence of one round in a nearby playground. Break In Log Dec 20 to Dec 27 2021 Somerville Police Respond to Residential Breaking & Entering",42.390446153682966,-71.09529012065522
22000044,1/1,2022,Last Half (Midnight - 8AM),220,Burglary/Breaking And Entering,The unlawful entry into a building or some other structure to commit a felony or a theft.,Burglary/Breaking And Entering,Crimes against Property,250173504001003,6              ,March 28th 2022 - December 20th 2021 Crime News,1/1/22,4:06 AM,Somerville Police Respond to Assault,"Somerville Police responded to a residence on Dearborn Rd for report of a breaking and entering in progress. Upon arrival, officers spoke with the victims who stated they observed a man shining a light into their basement window then attempted to step inside. The man was described as Somerville Police Respond to Breaking & Entering",42.403120604613505,-71.11667106206635
22001219,1/9,2022,Day Shift (8AM - 4PM),13A,Aggravated Assault,"An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.",Assault Offenses,Crimes against Person,250173510013008,2              ,March 28th 2022 - December 20th 2021 Crime News,1/9/22,10:26 AM,Somerville Police Respond to Assault,"Somerville Police responded to a business in the area of Somerville Ave & Elm St for report of a fight. Upon arrival, officers spoke with two men who stated they were involved in an argument that escalated into a fight. During the fight, one pepper sprayed the other. Assault Log Dec 20 2021 to Dec 27 2021",42.38674928874864,-71.11502533659859
